0.0	Book Cover
（賽 64:4）	從古以來，人未曾聽見、未曾耳聞、未曾眼見 在你以外有甚麼神為等候他的人行事。
（耶 29:12-13）	你們要呼求我，禱告我，我就應允你們。你們尋求我，若專心尋求我，就必尋見。
（但 10:12）	他就說：「但以理啊，不要懼怕！因為從你第一日專心求明白〔將來的事〕，又在你上帝面前刻苦己心，你的言語已蒙應允；我是因你的言語而來。
（但 9:23）	你初懇求的時候，就發出命令，我來告訴你，因你大蒙眷愛；所以你要思想明白這〔以下的〕事和異象。
（何 14:8）	以法蓮〔必說〕： 我與偶像還有甚麼關涉呢？ 我－〔耶和華〕回答他，也必顧念他。 我如青翠的松樹； 你的果子從我而得。
（太 6:8）	你們不可效法他們；因為你們沒有祈求以先，你們所需用的，你們的父早已知道了。
（太 7:8）	因為凡祈求的，就得着；尋找的，就尋見；叩門的，就給他開門。
（可 11:24）	所以我告訴你們，凡你們禱告祈求的，無論是甚麼，只要信是得着的，就必得着。
（路 11:13）	你們雖然不好，尚且知道拿好東西給兒女；何況天父，豈不更將聖靈給求他的人嗎？」
（約 14:13-14）	你們奉我的名無論求甚麼，我必成就，叫父因兒子得榮耀。你們若奉我的名求甚麼，我必成就。」
（約 15:7）	你們若常在我裏面，我的話也常在你們裏面，凡你們所願意的，祈求，就給你們成就。
（約 15:16）	不是你們揀選了我，是我揀選了你們，並且分派你們去結果子，叫你們的果子常存，使你們奉我的名，無論向父求甚麼，他就賜給你們。
（約 16:23-24）	到那日，你們甚麼也就不問我了。我實實在在地告訴你們，你們若向父求甚麼，他必因我的名賜給你們。向來你們沒有奉我的名求甚麼，如今你們求，就必得着，叫你們的喜樂可以滿足。」
（羅 5:2）	我們又藉着他，因信得進入現在所站的這恩典中，並且歡歡喜喜盼望上帝的榮耀。
（弗 2:18）	因為我們兩下藉着他被一個〔聖〕靈所感，得以進到父面前。
（弗 3:11-12）	這是照上帝從萬世以前，在我們主基督耶穌裏所定的旨意。我們因信耶穌，就在他裏面放膽無懼，篤信不疑地來到上帝面前。
（弗 3:20）	上帝能照着運行在我們心裏的大力充充足足地成就一切，超過我們所求所想的。
（腓 4:6-7）	應當一無掛慮，只要凡事藉着禱告、祈求，和感謝，將你們所要的告訴上帝。上帝所賜、出人意外的平安必在基督耶穌裏保守你們的心懷意念。
（來 4:15-16）	因我們的大祭司並非不能體恤我們的軟弱。他也曾凡事受過試探，與我們一樣，只是他沒有犯罪。所以，我們只管坦然無懼地來到施恩的寶座前，為要得憐恤，蒙恩惠，作隨時的幫助。
（雅 5:16）	所以你們要彼此認罪，互相代求，使你們可以得醫治。義人祈禱所發的力量是大有功效的。
（約一 5:14-15）	我們若照他的旨意求甚麼，他就聽我們，這是我們向他所存坦然無懼的心。既然知道他聽我們一切所求的，就知道我們所求於他的，無不得着。
4.2.{4}	Prayers for Answered Prayer
（詩 86:3）	主啊，求你憐憫我， 因我終日求告你。
（詩 28:2）	我呼求你，向你至聖所舉手的時候， 求你垂聽我懇求的聲音！
（詩 70:5）	但我是困苦窮乏的； 上帝啊，求你速速到我這裏來！ 你是幫助我的，搭救我的。 耶和華啊，求你不要耽延！
（詩 71:12）	上帝啊，求你不要遠離我！ 我的上帝啊，求你速速幫助我！
（詩 79:8）	求你不要記念我們先祖的罪孽，向我們追討； 願你的慈悲快迎着我們， 因為我們落到極卑微的地步。
（詩 102:1-2）	耶和華啊，求你聽我的禱告， 容我的呼求達到你面前！我在急難的日子，求你向我側耳； 不要向我掩面！ 我呼求的日子，求你快快應允我！
（詩 143:1）	耶和華啊，求你聽我的禱告， 留心聽我的懇求， 憑你的信實和公義應允我。
（詩 143:7）	耶和華啊，求你速速應允我！ 我心神耗盡！ 不要向我掩面， 免得我像那些下坑的人一樣。
（詩 69:13）	但我在悅納的時候向你－耶和華祈禱。 上帝啊，求你按你豐盛的慈愛， 憑你拯救的誠實應允我！
（詩 27:9）	不要向我掩面。 不要發怒趕逐僕人， 你向來是幫助我的。 救我的上帝啊，不要丟掉我， 也不要離棄我。
（詩 106:4-5）	耶和華啊，你用恩惠待你的百姓； 求你也用這恩惠記念我，開你的救恩眷顧我，使我見你選民的福， 樂你國民的樂， 與你的產業一同誇耀。
4.2.{5}	Faith Affirmations
（詩 66:20）	上帝是應當稱頌的！ 他並沒有推卻我的禱告， 也沒有叫他的慈愛離開我。
（詩 39:7）	主啊，如今我等甚麼呢？ 我的指望在乎你！
（詩 77:1）	我要向上帝發聲呼求； 我向上帝發聲，他必留心聽我。
（詩 118:21）	我要稱謝你，因為你已經應允我， 又成了我的拯救！
（詩 116:2）	他既向我側耳， 我一生要求告他。
（詩 4:3）	你們要知道，耶和華已經分別虔誠人歸他自己； 我求告耶和華，他必聽我。
（撒下 22:4）	我要求告當讚美的耶和華， 這樣，我必從仇敵手中被救出來。
4.3.{3}	Promises of God’s Intention to Save Us
（詩 106:8）	然而，他因自己的名拯救他們， 為要彰顯他的大能，
（結 36:25-27）	我必用清水灑在你們身上，你們就潔淨了。我要潔淨你們，使你們脫離一切的污穢，棄掉一切的偶像。我也要賜給你們一個新心，將新靈放在你們裏面，又從你們的肉體中除掉石心，賜給你們肉心。我必將我的靈放在你們裏面，使你們順從我的律例，謹守遵行我的典章。
（詩 107:20）	他發命醫治他們， 救他們脫離死亡。
（賽 45:17）	惟有以色列必蒙耶和華的拯救， 得永遠的救恩。 你們必不蒙羞，也不抱愧， 直到永世無盡。
（賽 55:5）	你素不認識的國民，你也必召來； 素不認識你的國民也必向你奔跑， 都因耶和華－你的上帝以色列的聖者， 因為他已經榮耀你。
（賽 65:1）	素來沒有訪問〔我的〕，現在求問我； 沒有尋找我的，我叫他們遇見； 沒有稱為我名下的，我對他們說： 我在這裏！我在這裏！
（耶 50:4-5）	耶和華說：「當那日子、那時候，以色列人要和猶大人同來，隨走隨哭，尋求耶和華－他們的上帝。他們必訪問錫安，又面向這裏，〔說〕：『來吧，你們要與耶和華聯合為永遠不忘的約。』
（結 11:19-20）	我要使他們有合一的心，也要將新靈放在他們裏面，又從他們肉體中除掉石心，賜給他們肉心，使他們順從我的律例，謹守遵行我的典章。他們要作我的子民，我要作他們的上帝。
（結 18:23）	主耶和華說：惡人死亡，豈是我喜悅的嗎？不是喜悅他回頭離開所行的道存活嗎？
（結 18:32）	主耶和華說：我不喜悅那死人之死，所以你們當回頭而存活。」
（何 2:19-20）	我必聘你永遠歸我為妻，以仁義、公平、慈愛、憐憫聘你歸我；也以誠實聘你歸我，你就必認識〔我〕－耶和華。
（珥 2:32）	到那時候，凡求告耶和華名的就必得救；因為照耶和華所說的，在錫安山，耶路撒冷必有逃脫的人，在剩下的人中必有耶和華所召的。」
（路 5:32）	我來本不是召義人悔改，乃是召罪人悔改。」
（路 19:10）	人子來，為要尋找、拯救失喪的人。」
（約 5:24-25）	我實實在在地告訴你們，那聽我話、又信差我來者的，就有永生；不至於定罪，是已經出死入生了。我實實在在地告訴你們，時候將到，現在就是了，死人要聽見上帝兒子的聲音，聽見的人就要活了。
（約 6:37）	凡父所賜給我的人必到我這裏來；到我這裏來的，我總不丟棄他。
（約 6:65）	耶穌又說：「所以我對你們說過，若不是蒙我父的恩賜，沒有人能到我這裏來。」
（約 10:9）	我就是門；凡從我進來的，必然得救，並且出入得草吃。
（約 11:25-26）	耶穌對她說：「復活在我，生命也在我。信我的人雖然死了，也必復活；凡活着信我的人必永遠不死。你信這話嗎？」
（約 14:6）	耶穌說：「我就是道路、真理、生命；若不藉着我，沒有人能到父那裏去。
（約 20:31）	但記這些事要叫你們信耶穌是基督，是上帝的兒子，並且叫你們信了他，就可以因他的名得生命。
（徒 2:38-39）	彼得說：「你們各人要悔改，奉耶穌基督的名受洗，叫你們的罪得赦，就必領受所賜的聖靈；因為這應許是給你們和你們的兒女，並一切在遠方的人，就是主－我們上帝所召來的。」
（徒 3:19-20）	所以，你們當悔改歸正，使你們的罪得以塗抹，這樣，那安舒的日子就必從主面前來到；主也必差遣所預定給你們的基督（耶穌）降臨。
（徒 11:18）	眾人聽見這話，就不言語了，只歸榮耀與上帝，說：「這樣看來，上帝也賜恩給外邦人，叫他們悔改得生命了。」
（徒 13:38）	所以，弟兄們，你們當曉得：赦罪的道是由這人傳給你們的。
（徒 16:31）	他們說：「當信主耶穌，你和你一家都必得救。」
（徒 26:18）	我差你到他們那裏去，要叫他們的眼睛得開，從黑暗中歸向光明，從撒但權下歸向上帝；又因信我，得蒙赦罪，和一切成聖的人同得基業。』」
（羅 1:16）	我不以福音為恥；這福音本是上帝的大能，要救一切相信的，先是猶太人，後是希臘人。
（羅 4:5）	惟有不做工的，只信稱罪人為義的上帝，他的信就算為義。
（羅 5:1）	我們既因信稱義，就藉着我們的主耶穌基督得與上帝相和。
（羅 5:8）	惟有基督在我們還作罪人的時候為我們死，上帝的愛就在此向我們顯明了。
（羅 8:1）	如今，那些在基督耶穌裏的就不定罪了。
（羅 9:16）	據此看來，這不在乎那定意的，也不在乎那奔跑的，只在乎發憐憫的上帝。
（羅 10:4）	律法的總結就是基督，使凡信他的都得着義。
（羅 10:9）	你若口裏認耶穌為主，心裏信上帝叫他從死裏復活，就必得救。
（羅 10:12-13）	猶太人和希臘人並沒有分別，因為眾人同有一位主；他也厚待一切求告他的人。因為「凡求告主名的就必得救」。
（羅 10:17）	可見，信道是從聽道來的，聽道是從基督的話來的。
（林前 1:18）	因為十字架的道理，在那滅亡的人為愚拙；在我們得救的人，卻為上帝的大能。
（林前 15:22）	在亞當裏眾人都死了；照樣，在基督裏眾人也都要復活。
（林前 15:49）	我們既有屬土的形狀，將來也必有屬天的形狀。
（林後 5:19）	這就是上帝在基督裏，叫世人與自己和好，不將他們的過犯歸到他們身上，並且將這和好的道理託付了我們。
（林後 5:21）	上帝使那無罪〔註：無罪：原文是不知罪〕的，替我們成為罪，好叫我們在他裏面成為上帝的義。
（帖前 5:9）	因為上帝不是預定我們受刑，乃是預定我們藉着我們主耶穌基督得救。
（弗 2:8-9）	你們得救是本乎恩，也因着信；這並不是出於自己，乃是上帝所賜的；也不是出於行為，免得有人自誇。
（提前 2:3-4）	這是好的，在上帝我們救主面前可蒙悅納。他願意萬人得救，明白真道。
（提後 1:10）	但如今藉着我們救主基督耶穌的顯現才表明出來了。他已經把死廢去，藉着福音，將不能壞的生命彰顯出來。
（多 3:5-6）	他便救了我們；並不是因我們自己所行的義，乃是照他的憐憫，藉着重生的洗和聖靈的更新。聖靈就是上帝藉着耶穌基督－我們救主厚厚澆灌在我們身上的，
（來 7:25）	凡靠着他進到上帝面前的人，他都能拯救到底；因為他是長遠活着，替他們祈求。
（來 8:10-12）	主又說： 那些日子以後， 我與以色列家所立的約乃是這樣： 我要將我的律法放在他們裏面， 寫在他們心上； 我要作他們的上帝； 他們要作我的子民。他們不用各人教導自己的鄉鄰和自己的弟兄， 說：你該認識主； 因為他們從最小的到至大的，都必認識我。我要寬恕他們的不義， 不再記念他們的罪愆。
（來 9:26）	如果這樣，他從創世以來，就必多次受苦了。但如今在這末世顯現一次，把自己獻為祭，好除掉罪。
（來 10:14）	因為他一次獻祭，便叫那得以成聖的人永遠完全。
（彼後 3:9）	主所應許的〔尚未成就〕，有人以為他是耽延，其實不是耽延，乃是寬容你們，不願有一人沉淪，乃願人人都悔改。
（約一 5:11-12）	這見證就是上帝賜給我們永生；這〔永〕生也是在他兒子裏面。人有了〔上帝的〕兒子就有生命，沒有上帝的兒子就沒有生命。
（約一 5:20）	我們也知道，上帝的兒子已經來到，且將智慧賜給我們，使我們認識那位真實的，我們也在那位真實的裏面，就是在他兒子耶穌基督裏面。這是真神，也是永生。
（啟 1:5）	並那誠實作見證的、從死裏首先復活、為世上君王元首的耶穌基督，有恩惠、平安歸與你們！ 他愛我們，用自己的血使我們脫離〔註：有古卷：洗去〕罪惡，
（啟 22:17）	〔聖〕靈和新婦都說：「來！」聽見的人也該說：「來！」口渴的人也當來；願意的，都可以白白取生命的水〔喝〕。
4.3.{4}	Prayers to God for Salvation
（代上 16:35）	要說：拯救我們的上帝啊，求你救我們， 聚集我們，使我們脫離外邦， 我們好稱讚你的聖名，以讚美你為誇勝。
（耶 31:7）	耶和華如此說： 你們當為雅各歡樂歌唱， 因萬國中為首的歡呼。 當傳揚頌讚說： 耶和華啊， 求你拯救你的百姓以色列所剩下的人。
（羅 10:1）	弟兄們，我心裏所願的，向上帝所求的，是要以色列人得救。
（可 10:47）	他聽見是拿撒勒的耶穌，就喊着說：「大衛的子孫耶穌啊！可憐我吧！」
（詩 6:4）	耶和華啊，求你轉回搭救我！ 因你的慈愛拯救我。
（詩 69:1）	上帝啊，求你救我！ 因為眾水要淹沒我。
（詩 109:21）	主－耶和華啊，求你為你的名〔恩〕待我； 因你的慈愛美好，求你搭救我！
（詩 116:4）	那時，我便求告耶和華的名，說： 耶和華啊，求你救我的靈魂！
（詩 119:170）	願我的懇求達到你面前， 照你的話搭救我。
4.3.{5}	Faith Affirmations
（詩 27:13）	我若不信在活人之地得見耶和華的恩惠， 〔就早已喪膽了〕。
（賽 63:16）	亞伯拉罕雖然不認識我們， 以色列也不承認我們， 你卻是我們的父。 耶和華啊，你是我們的父； 從萬古以來，你名稱為「我們的救贖主」。
（詩 62:1）	我的心默默無聲，專等候上帝； 我的救恩是從他〔而來〕。
4.4.{3}	Promises of God’s Intention to Save the Nations
（創 22:18）	並且地上萬國都必因你的後裔得福，因為你聽從了我的話。』」
（詩 2:8）	你求我，我就將列國賜你為基業， 將地極賜你為田產。
（詩 86:9）	主啊，你所造的萬民都要來敬拜你； 他們也要榮耀你的名。
（賽 49:6）	現在他說：你作我的僕人， 使雅各眾支派復興， 使以色列中得保全的歸回尚為小事， 我還要使你作外邦人的光， 叫你施行我的救恩，直到地極。
（可 11:17）	便教訓他們說：「〔經上〕不是記着說： 我的殿必稱為萬國禱告的殿嗎？ 你們倒使它成為賊窩了。」
（賽 61:11）	田地怎樣使百穀發芽， 園子怎樣使所種的發生， 主耶和華必照樣 使公義和讚美在萬民中發出。
（耶 4:1-2）	耶和華說：以色列啊， 你若回來歸向我， 若從我眼前除掉你可憎的〔偶像〕， 你就不被遷移。你必憑誠實、公平、公義， 指着永生的耶和華起誓； 列國必因耶和華稱自己為有福， 也必因他誇耀。
（結 38:23）	我必顯為大，顯為聖，在多國人的眼前顯現；他們就知道我是耶和華。」
（瑪 1:11）	萬軍之耶和華說：從日出之地到日落之處，我的名在外邦中必尊為大。在各處，人必奉我的名燒香，獻潔淨的供物，因為我的名在外邦中必尊為大。
（瑪 1:14）	行詭詐的在群中有公羊，他許願卻用有殘疾的獻給主，這人是可咒詛的。因為我是大君王，我的名在外邦中是可畏的。這是萬軍之耶和華說的。
（太 24:14）	這天國的福音要傳遍天下，對萬民作見證，然後末期才來到。」
（羅 1:5）	我們從他受了恩惠並使徒的職分，在萬國之中叫人為他的名信服真道；
（羅 16:25-26）	惟有上帝能照我所傳的福音和所講的耶穌基督，並照永古隱藏不言的奧祕，堅固你們的心。這奧祕如今顯明出來，而且按着永生上帝的命，藉眾先知的書指示萬國的民，使他們信服真道。
（啟 7:9-10）	此後，我觀看，見有許多的人，沒有人能數過來，是從各國、各族、各民、各方來的，站在寶座和羔羊面前，身穿白衣，手拿棕樹枝，大聲喊着說：「願救恩歸與坐在寶座上我們的上帝，也歸與羔羊！」
4.4.{4}.1	Prayers Asking God For the Gospel to Advance
（帖後 3:1-2）	弟兄們，我還有話說：請你們為我們禱告，好叫主的道理快快行開，得着榮耀，正如在你們中間一樣，也叫我們脫離無理之惡人的手；因為人不都是有信心。
（路 10:2）	就對他們說：「要收的莊稼多，做工的人少。所以，你們當求莊稼的主打發工人出去收他的莊稼。
（詩 67:2）	好叫世界得知你的道路， 萬國得知你的救恩。
（詩 108:5）	上帝啊，願你崇高過於諸天！ 願你的榮耀高過全地！
（徒 4:30）	他們恐嚇我們，現在求主鑒察，一面叫你僕人大放膽量講你的道，一面伸出你的手來醫治疾病，並且使神蹟奇事因着你聖僕〔註：僕：或譯子〕耶穌的名行出來。」
（代上 16:31）	願天歡喜，願地快樂； 願人在列邦中說： 耶和華作王了！
（詩 67:3）	上帝啊，願列邦稱讚你！ 願萬民都稱讚你！
（詩 67:4）	願萬國都快樂歡呼； 因為你必按公正審判萬民， 引導世上的萬國。（細拉）
4.4.{4}.2	How to Pray So that People Will Be Saved
（羅 10:1）	弟兄們，我心裏所願的，向上帝所求的，是要以色列人得救。
（提前 2:1-4）	我勸你，第一要為萬人懇求、禱告、代求、祝謝；為君王和一切在位的，〔也該如此〕，使我們可以敬虔、端正、平安無事地度日。這是好的，在上帝我們救主面前可蒙悅納。他願意萬人得救，明白真道。
（太 9:38）	所以，你們當求莊稼的主打發工人出去收他的莊稼。」
（西 4:2-4）	你們要恆切禱告，在此警醒感恩。也要為我們禱告，求上帝給我們開傳道的門，能以講基督的奧祕（我為此被捆鎖），叫我按着所該說的話將這奧祕發明出來。
（弗 6:18-20）	靠着〔聖〕靈，隨時多方禱告祈求；並要在此警醒不倦，為眾聖徒祈求，也為我祈求，使我得着口才，能以放膽開口講明福音的奧祕，（我為這福音的奧祕作了帶鎖鍊的使者，）並使我照着當盡的本分放膽講論。
4.4.{5}	Faith Affirmations
（詩 77:14）	你是行奇事的上帝； 你曾在列邦中彰顯你的能力。
（耶 16:19）	耶和華啊，你是我的力量， 是我的保障； 在苦難之日是我的避難所。 列國人必從地極來到你這裏， 說：我們列祖所承受的， 不過是虛假，是虛空無益之物。
（詩 108:3）	耶和華啊，我要在萬民中稱謝你， 在列邦中歌頌你！
（詩 145:6）	人要傳說你可畏之事的能力； 我也要傳揚你的大德。
（詩 105:1）	你們要稱謝耶和華，求告他的名， 在萬民中傳揚他的作為！
（賽 12:4）	在那日，你們要說： 當稱謝耶和華，求告他的名； 將他所行的傳揚在萬民中， 提說他的名已被尊崇。
（賽 62:1）	我因錫安必不靜默， 為耶路撒冷必不息聲， 直到他的公義如光輝發出， 他的救恩如明燈發亮。
（徒 20:24）	我卻不以性命為念，也不看為寶貴，只要行完我的路程，成就我從主耶穌所領受的職事，證明上帝恩惠的福音。
（詩 86:9）	主啊，你所造的萬民都要來敬拜你； 他們也要榮耀你的名。
（哈 2:14）	認識耶和華榮耀的知識要充滿遍地， 好像水充滿洋海一般。
（詩 22:27）	地的四極都要想念耶和華，並且歸順他； 列國的萬族都要在你面前敬拜。
（詩 86:9）	主啊，你所造的萬民都要來敬拜你； 他們也要榮耀你的名。
4.5.{3}	Promises of God’s Love for His People
（申 33:3）	他疼愛百姓； 眾聖徒都在他手中。 他們坐在他的腳下， 領受他的言語。
（詩 32:10）	惡人必多受苦楚； 惟獨倚靠耶和華的必有慈愛四面環繞他。
（詩 33:18）	耶和華的眼目看顧敬畏他的人 和仰望他慈愛的人，
（詩 62:12）	主啊，慈愛也是屬乎你， 因為你照着各人所行的報應他。
（詩 86:5）	主啊，你本為良善，樂意饒恕人， 有豐盛的慈愛賜給凡求告你的人。
（詩 89:14）	公義和公平是你寶座的根基； 慈愛和誠實行在你前面。
（詩 103:4）	他救贖你的命脫離死亡， 以仁愛和慈悲為你的冠冕。
（詩 103:8）	耶和華有憐憫，有恩典， 不輕易發怒，且有豐盛的慈愛。
（詩 103:11）	天離地何等的高， 他的慈愛向敬畏他的人也是何等的大！
（箴 16:6）	因憐憫誠實，罪孽得贖； 敬畏耶和華的，遠離惡事。
（賽 49:15）	婦人焉能忘記她吃奶的嬰孩， 不憐恤她所生的兒子？ 即或有忘記的， 我卻不忘記你。
（賽 54:10）	大山可以挪開， 小山可以遷移； 但我的慈愛必不離開你； 我平安的約也不遷移。 這是憐恤你的耶和華說的。
（哀 3:22）	我們不致消滅， 是出於耶和華諸般的慈愛； 是因他的憐憫不致斷絕。
（哀 3:32）	主雖使人憂愁， 還要照他諸般的慈愛發憐憫。
（彌 7:18）	上帝啊，有何神像你，赦免罪孽， 饒恕你產業之餘民的罪過， 不永遠懷怒，喜愛施恩？
（詩 139:16-18）	我未成形的體質，你的眼早已看見了； 你所定的日子，我尚未度一日〔註：或譯：我被造的肢體尚未有其一〕， 你都寫在你的冊上了。上帝啊，你的意念向我何等寶貴！ 其數何等眾多！我若數點，比海沙更多； 我睡醒的時候，仍和你同在。
（詩 142:3）	我的靈在我裏面發昏的時候， 你知道我的道路。 在我行的路上， 敵人為我暗設網羅。
（何 3:1）	耶和華對我說：「你再去愛一個淫婦，就是她情人所愛的；好像以色列人，雖然偏向別神，喜愛葡萄餅，耶和華還是愛他們。」
（番 3:17）	耶和華－你的上帝是施行拯救、 大有能力的〔主〕。 他在你中間必因你歡欣喜樂， 默然愛你，且因你喜樂而歡呼。
（太 10:29-31）	兩個麻雀不是賣一分銀子嗎？若是你們的父不許，一個也不能掉在地上；就是你們的頭髮也都被數過了。所以，不要懼怕，你們比許多麻雀還貴重！」
（約 15:9）	我愛你們，正如父愛我一樣；你們要常在我的愛裏。
（羅 1:7）	我寫信給你們在羅馬、為上帝所愛、奉召作聖徒的眾人。願恩惠、平安從我們的父上帝並主耶穌基督歸與你們！
（羅 8:31-32）	既是這樣，還有甚麼說的呢？上帝若幫助我們，誰能敵擋我們呢？上帝既不愛惜自己的兒子，為我們眾人捨了，豈不也把萬物和他一同白白地賜給我們嗎？
（羅 8:38-39）	因為我深信無論是死，是生，是天使，是掌權的，是有能的，是現在的事，是將來的事，是高處的，是低處的，是別的受造之物，都不能叫我們與上帝的愛隔絕；這愛是在我們的主基督耶穌裏的。
（弗 1:4-5）	就如上帝從創立世界以前，在基督裏揀選了我們，使我們在他面前成為聖潔，無有瑕疵；又因愛我們，就按着自己的意旨所喜悅的，預定我們藉着耶穌基督得兒子的名分，
（約一 3:1）	你看父賜給我們是何等的慈愛，使我們得稱為上帝的兒女；我們也真是他的兒女。世人所以不認識我們，是因未曾認識他。
（約一 4:9-10）	上帝差他獨生子到世間來，使我們藉着他得生，上帝愛我們的心在此就顯明了。不是我們愛上帝，乃是上帝愛我們，差他的兒子為我們的罪作了挽回祭，這就是愛了。
（撒下 22:20）	他又領我到寬闊之處； 他救拔我，因他喜悅我。
（詩 37:23-24）	義人的腳步被耶和華立定； 他的道路，耶和華也喜愛。他雖失腳也不致全身仆倒， 因為耶和華用手攙扶他〔註：或譯：攙扶他的手〕。
（詩 44:3）	因為他們不是靠自己的刀劍得地土， 也不是靠自己的膀臂得勝， 乃是靠你的右手、你的膀臂， 和你臉上的亮光， 因為你喜悅他們。
（賽 40:11）	他必像牧人牧養自己的羊群， 用膀臂聚集羊羔抱在懷中， 慢慢引導那乳養小羊的。
（詩 103:5）	他用美物使你所願的得以知足， 以致你如鷹返老還童。
（詩 107:9）	因他使心裏渴慕的人得以知足， 使心裏飢餓的人得飽美物。
4.5.{4}	Prayers Regarding God’s Love
（撒下 2:6）	你們既行了這事，願耶和華以慈愛誠實待你們，我也要為此厚待你們。
（詩 17:7）	求你顯出你奇妙的慈愛來； 你是那用右手拯救投靠你的脫離起來攻擊他們的人。
（詩 33:22）	耶和華啊，求你照着我們所仰望你的， 向我們施行慈愛！
（詩 44:26）	求你起來幫助我們！ 憑你的慈愛救贖我們！
（詩 48:9）	上帝啊，我們在你的殿中想念你的慈愛。
（詩 51:1）	上帝啊，求你按你的慈愛憐恤我！ 按你豐盛的慈悲塗抹我的過犯！
（詩 69:16）	耶和華啊，求你應允我！ 因為你的慈愛本為美好； 求你按你豐盛的慈悲回轉眷顧我！
（詩 85:7）	耶和華啊，求你使我們得見你的慈愛， 又將你的救恩賜給我們。
（詩 90:14）	求你使我們早早飽得你的慈愛， 好叫我們一生一世歡呼喜樂。
（詩 109:21）	主－耶和華啊，求你為你的名〔恩〕待我； 因你的慈愛美好，求你搭救我！
（詩 119:41）	耶和華啊，願你照你的話，使你的慈愛， 就是你的救恩，臨到我身上，
（詩 119:124）	求你照你的慈愛待僕人， 將你的律例教訓我。
（詩 143:8）	求你使我清晨得聽你慈愛〔之言〕， 因我倚靠你； 求你使我知道當行的路， 因我的心仰望你。
（民 14:19）	求你照你的大慈愛赦免這百姓的罪孽，好像你從埃及到如今常赦免他們一樣。」
（詩 13:5）	但我倚靠你的慈愛； 我的心因你的救恩快樂。
（詩 25:6-7）	耶和華啊，求你記念你的憐憫和慈愛， 因為這是亙古以來所常有的。求你不要記念我幼年的罪愆和我的過犯； 耶和華啊，求你因你的恩惠，按你的慈愛記念我。
（約 17:23）	我在他們裏面，你在我裏面，使他們完完全全地合而為一，叫世人知道你差了我來，也知道你愛他們如同愛我一樣。
（約 17:26）	我已將你的名指示他們，還要指示他們，使你所愛我的愛在他們裏面，我也在他們裏面。」
（羅 15:30）	弟兄們，我藉着我們主耶穌基督，又藉着〔聖〕靈的愛，勸你們與我一同竭力，為我祈求上帝，
（帖後 3:5）	願主引導你們的心，叫你們愛上帝，並學基督的忍耐！
4.5.{5}	Faith Affirmations
（詩 117:2）	因為他向我們大施慈愛； 耶和華的誠實存到永遠。 你們要讚美耶和華！
（詩 26:3）	因為你的慈愛常在我眼前， 我也按你的真理而行。
（詩 59:17）	我的力量啊，我要歌頌你； 因為上帝是我的高臺， 是賜恩與我的上帝。
（詩 31:21）	耶和華是應當稱頌的， 因為他在堅固城裏向我施展奇妙的慈愛。
（詩 5:7）	至於我，我必憑你豐盛的慈愛進入你的居所； 我必存敬畏你的心向你的聖殿下拜。
（詩 63:3）	因你的慈愛比生命更好， 我的嘴唇要頌讚你。
（詩 42:8）	白晝，耶和華必向我施慈愛； 黑夜，我要歌頌禱告賜我生命的上帝。
（詩 144:2）	他是我慈愛〔的主〕，我的山寨， 我的高臺，我的救主， 我的盾牌，是我所投靠的； 他使我的百姓服在我以下。
（詩 59:16）	但我要歌頌你的力量， 早晨要高唱你的慈愛； 因為你作過我的高臺， 在我急難的日子作過我的避難所。
（詩 40:11）	耶和華啊，求你不要向我止住你的慈悲！ 願你的慈愛和誠實常常保佑我！
（伯 10:12）	你將生命和慈愛賜給我； 你也眷顧保全我的心靈。
（詩 31:7）	我要為你的慈愛高興歡喜； 因為你見過我的困苦，知道我心中的艱難。
（詩 13:5）	但我倚靠你的慈愛； 我的心因你的救恩快樂。
（約一 4:16）	上帝愛我們的心，我們也知道也信。 上帝就是愛；住在愛裏面的，就是住在上帝裏面，上帝也住在他裏面。
（詩 94:18-19）	我正說我失了腳， 耶和華啊，那時你的慈愛扶助我。我心裏多憂多疑， 你安慰我，就使我歡樂。
（出 15:13）	你憑慈愛領了你所贖的百姓； 你憑能力引他們到了你的聖所。
（詩 143:12）	憑你的慈愛剪除我的仇敵， 滅絕一切苦待我的人， 因我是你的僕人。
（詩 52:8）	至於我，就像上帝殿中的青橄欖樹； 我永永遠遠倚靠上帝的慈愛。
（詩 13:5）	但我倚靠你的慈愛； 我的心因你的救恩快樂。
（詩 86:13）	因為，你向我發的慈愛是大的； 你救了我的靈魂免入極深的陰間。
4.6.{3}	Promises to the Church
（詩 130:8）	他必救贖以色列脫離一切的罪孽。
（詩 87:5-6）	論到錫安，必說： 這一個、那一個都生在其中， 而且至高者必親自堅立這城。當耶和華記錄萬民的時候， 他要點出這一個生在那裏。（細拉）
（詩 133:1）	看哪，弟兄和睦同居 是何等地善，何等地美！
（詩 133:3）	又好比黑門的甘露降在錫安山； 因為在那裏有耶和華所命定的福， 就是永遠的生命。
（詩 135:14）	耶和華要為他的百姓伸冤， 為他的僕人後悔。
（賽 49:15）	婦人焉能忘記她吃奶的嬰孩， 不憐恤她所生的兒子？ 即或有忘記的， 我卻不忘記你。
（賽 54:1）	你這不懷孕、不生養的要歌唱； 你這未曾經過產難的要發聲歌唱，揚聲歡呼； 因為沒有丈夫的比有丈夫的兒女更多。 這是耶和華說的。
