（赛 64:7）	并且无人求告你的名； 无人奋力抓住你。 原来你掩面不顾我们， 使我们因罪孽消化。
（诗 145:1-2）	我的上帝我的王啊，我要尊崇你！ 我要永永远远称颂你的名！我要天天称颂你， 也要永永远远赞美你的名！
（赛 12:1）	到那日，你必说： 耶和华啊，我要称谢你！ 因为你虽然向我发怒， 你的怒气却已转消； 你又安慰了我。
（赛 25:1）	耶和华啊，你是我的上帝； 我要尊崇你，我要称赞你的名。 因为你以忠信诚实行过奇妙的事， 成就你古时所定的。
（赛 26:12）	耶和华啊，你必派定我们得平安， 因为我们所做的事都是你给我们成就的。
（耶 10:6）	耶和华啊，没有能比你的！ 你本为大，有大能大力的名。
（耶 32:17）	「主耶和华啊，你曾用大能和伸出来的膀臂创造天地，在你没有难成的事。
（哀 5:21）	耶和华啊，求你使我们向你回转， 我们便得回转。 求你复新我们的日子，像古时一样。
（但 2:20-21）	但以理说：「上帝的名是应当称颂的！从亘古直到永远，因为智慧能力都属乎他。他改变时候、日期，废王，立王，将智慧赐与智慧人，将知识赐与聪明人。
（太 6:9）	所以，你们祷告要这样说： 我们在天上的父： 愿人都尊你的名为圣。
（徒 4:24）	他们听见了，就同心合意地高声向上帝说：「主啊！你是造天、地、海，和其中万物的，
（来 1:12）	你要将天地卷起来，像一件外衣， 天地就都改变了。 惟有你永不改变； 你的年数没有穷尽。
（启 4:8）	四活物各有六个翅膀，遍体内外都满了眼睛。他们昼夜不住地说： 圣哉！圣哉！圣哉！ 主上帝是昔在、今在、 以后〔永〕在的全能者。
（启 4:11）	我们的主，我们的上帝， 你是配得荣耀、尊贵、权柄的； 因为你创造了万物， 并且万物是因你的旨意被创造而有的。
（启 5:9-10）	他们唱新歌，说： 你配拿书卷， 配揭开七印； 因为你曾被杀， 用自己的血 从各族、各方、各民、各国中买了人来， 叫他们归于上帝，又叫他们成为国民， 作祭司归于上帝， 在地上执掌王权。
（启 7:10）	大声喊着说：「愿救恩归与坐在宝座上我们的上帝，也归与羔羊！」
（启 11:17）	说： 昔在、今在的主上帝－ 全能者啊，我们感谢你！ 因你执掌大权作王了。
（启 15:3-4）	唱上帝仆人摩西的歌和羔羊的歌，说： 主上帝－全能者啊， 你的作为大哉！奇哉！ 万世〔注：或译：国〕之王啊， 你的道途义哉！诚哉！主啊，谁敢不敬畏你， 不将荣耀归与你的名呢？ 因为独有你是圣的。 万民都要来在你面前敬拜， 因你公义的作为已经显出来了。
（启 19:6）	我听见好像群众的声音，众水的声音，大雷的声音，说： 哈利路亚！ 因为主－我们的上帝、 全能者作王了。
（代上 16:35）	要说：拯救我们的上帝啊，求你救我们， 聚集我们，使我们脱离外邦， 我们好称赞你的圣名，以赞美你为夸胜。
（诗 9:1）	我要一心称谢耶和华； 我要传扬你一切奇妙的作为。
（诗 13:5）	但我倚靠你的慈爱； 我的心因你的救恩快乐。
（诗 28:7）	耶和华是我的力量，是我的盾牌； 我心里倚靠他就得帮助。 所以我心中欢乐， 我必用诗歌颂赞他。
（诗 31:7）	我要为你的慈爱高兴欢喜； 因为你见过我的困苦，知道我心中的艰难。
（诗 57:9）	主啊，我要在万民中称谢你， 在列邦中歌颂你！
（诗 69:30）	我要以诗歌赞美上帝的名， 以感谢称他为大！
（诗 75:1）	上帝啊，我们称谢你，我们称谢你！ 因为你的名相近，人都述说你奇妙的作为。
（诗 79:13）	这样，你的民，你草场的羊， 要称谢你，直到永远； 要述说赞美你的话，直到万代。
（诗 86:12）	主－我的上帝啊，我要一心称赞你； 我要荣耀你的名，直到永远。
（诗 103:1）	我的心哪，你要称颂耶和华！ 凡在我里面的，也要称颂他的圣名！
（诗 103:2）	我的心哪，你要称颂耶和华！ 不可忘记他的一切恩惠！
（诗 103:22）	你们一切被他造的， 在他所治理的各处， 都要称颂耶和华！ 我的心哪，你要称颂耶和华！
（诗 116:17）	我要以感谢为祭献给你， 又要求告耶和华的名。
（诗 118:19）	给我敞开义门； 我要进去称谢耶和华！
（诗 118:21）	我要称谢你，因为你已经应允我， 又成了我的拯救！
（诗 118:28）	你是我的上帝，我要称谢你！ 你是我的上帝，我要尊崇你！
（赛 12:1）	到那日，你必说： 耶和华啊，我要称谢你！ 因为你虽然向我发怒， 你的怒气却已转消； 你又安慰了我。
（赛 61:10）	我因耶和华大大欢喜； 我的心靠上帝快乐。 因他以拯救为衣给我穿上， 以公义为袍给我披上， 好像新郎戴上华冠， 又像新妇佩戴妆饰。
（出 33:18）	摩西说：「求你显出你的荣耀给我看。」
（约 17:24）	父啊，我在哪里，愿你所赐给我的人也同我在那里，叫他们看见你所赐给我的荣耀；因为创立世界以前，你已经爱我了。
（诗 106:47）	耶和华－我们的上帝啊，求你拯救我们， 从外邦中招聚我们， 我们好称赞你的圣名， 以赞美你为夸胜。
（诗 142:7）	求你领我出离被囚之地， 我好称赞你的名。 义人必环绕我， 因为你是用厚恩待我。
（诗 104:34）	愿他以我的默念为甘甜！ 我要因耶和华欢喜！
（诗 22:25）	我在大会中赞美你的话是从你而来的； 我要在敬畏耶和华的人面前还我的愿。
（诗 9:2）	我要因你欢喜快乐； 至高者啊，我要歌颂你的名！
（诗 71:14）	我却要常常盼望， 并要越发赞美你。
（诗 104:33）	我要一生向耶和华唱诗！ 我还活的时候，要向我上帝歌颂！
（诗 34:1）	我要时时称颂耶和华； 赞美他的话必常在我口中。
（诗 9:1-2）	我要一心称谢耶和华； 我要传扬你一切奇妙的作为。我要因你欢喜快乐； 至高者啊，我要歌颂你的名！
（诗 44:8）	我们终日因上帝夸耀， 还要永远称谢你的名。（细拉）
（诗 108:1）	上帝啊，我心坚定； 我口〔注：原文是荣耀〕要唱诗歌颂！
（诗 13:6）	我要向耶和华歌唱， 因他用厚恩待我。
（诗 63:3）	因你的慈爱比生命更好， 我的嘴唇要颂赞你。
（诗 77:12）	我也要思想你的经营， 默念你的作为。
（哈 3:17-18）	虽然无花果树不发旺， 葡萄树不结果， 橄榄树也不效力， 田地不出粮食， 圈中绝了羊， 棚内也没有牛；然而，我要因耶和华欢欣， 因救我的上帝喜乐。
（罗 5:11）	不但如此，我们既藉着我主耶稣基督得与上帝和好，也就藉着他以上帝为乐。
（启 11:15）	第七位天使吹号，天上就有大声音说： 世上的国成了我主和主基督的国； 他要作王，直到永永远远。
（代下 30:9）	你们若转向耶和华，你们的弟兄和儿女必在掳掠他们的人面前蒙怜恤，得以归回这地，因为耶和华－你们的上帝有恩典、施怜悯。你们若转向他，他必不转脸不顾你们。」
（伯 14:17）	我的过犯被你封在囊中， 也缝严了我的罪孽。
（诗 85:2-3）	你赦免了你百姓的罪孽， 遮盖了他们一切的过犯。（细拉）你收转了所发的忿怒 和你猛烈的怒气。
（诗 86:5）	主啊，你本为良善，乐意饶恕人， 有丰盛的慈爱赐给凡求告你的人。
（诗 103:10-12）	他没有按我们的罪过待我们， 也没有照我们的罪孽报应我们。天离地何等的高， 他的慈爱向敬畏他的人也是何等的大！东离西有多远， 他叫我们的过犯离我们也有多远！
（诗 130:3-4）	主－耶和华啊，你若究察罪孽， 谁能站得住呢？但在你有赦免之恩， 要叫人敬畏你。
（赛 43:25）	惟有我为自己的缘故涂抹你的过犯； 我也不记念你的罪恶。
（赛 44:22）	我涂抹了你的过犯，像厚云〔消散〕； 我涂抹了你的罪恶，如薄云〔灭没〕。 你当归向我，因我救赎了你。
（耶 50:20）	耶和华说：「当那日子、那时候，虽寻以色列的罪孽，一无所有；虽寻犹大的罪恶，也无所见；因为我所留下的人，我必赦免。」
（耶 51:10）	耶和华已经彰显我们的公义。 来吧！我们可以在锡安 报告耶和华－我们上帝的作为。
（番 3:15）	耶和华已经除去你的刑罚， 赶出你的仇敌。 以色列的王－耶和华在你中间； 你必不再惧怕灾祸。
（亚 3:4）	使者吩咐站在面前的说：「你们要脱去他污秽的衣服」；又对约书亚说：「我使你脱离罪孽，要给你穿上华美的衣服。」
（约 1:29）	次日，约翰看见耶稣来到他那里，就说：「看哪，上帝的羔羊，除去〔注：或译：背负〕世人罪孽的！
（来 9:22）	按着律法，凡物差不多都是用血洁净的；若不流血，罪就不得赦免了。
（弗 1:7）	我们藉这爱子的血得蒙救赎，过犯得以赦免，乃是照他丰富的恩典。
（约一 1:9）	我们若认自己的罪，上帝是信实的，是公义的，必要赦免我们的罪，洗净我们一切的不义。
（士 10:10）	以色列人哀求耶和华说：「我们得罪了你；因为离弃了我们上帝，去事奉诸巴力。」
（士 10:15）	以色列人对耶和华说：「我们犯罪了，任凭你随意待我们吧！只求你今日拯救我们。」
（撒上 12:10）	他们就呼求耶和华说：『我们离弃耶和华，事奉巴力和亚斯她录，是有罪了。现在求你救我们脱离仇敌的手，我们必事奉你。』
（拉 9:6）	说：「我的上帝啊，我抱愧蒙羞，不敢向我上帝仰面；因为我们的罪孽灭顶，我们的罪恶滔天。
（拉 9:10）	「我们的上帝啊，既是如此，我们还有什么话可说呢？因为我们已经离弃你的命令，
（拉 9:13）	上帝啊，我们因自己的恶行和大罪，遭遇了这一切的事，并且你刑罚我们轻于我们罪所当得的，又给我们留下这些人。
（拉 9:15）	耶和华－以色列的上帝啊，因你是公义的，我们这剩下的人才得逃脱，正如今日的光景。看哪，我们在你面前有罪恶，因此无人在你面前站立得住。」
（尼 1:6-7）	愿你睁眼看，侧耳听，你仆人昼夜在你面前为你众仆人以色列民的祈祷，承认我们以色列人向你所犯的罪；我与我父家都有罪了。我们向你所行的甚是邪恶，没有遵守你藉着仆人摩西所吩咐的诫命、律例、典章。
（尼 9:32-33）	「我们的上帝啊，你是至大、至能、至可畏、守约施慈爱的上帝。我们的君王、首领、祭司、先知、列祖，和你的众民，从亚述列王的时候直到今日所遭遇的苦难，现在求你不要以为小。在一切临到我们的事上，你却是公义的；因你所行的是诚实，我们所做的是邪恶。
（诗 79:8）	求你不要记念我们先祖的罪孽，向我们追讨； 愿你的慈悲快迎着我们， 因为我们落到极卑微的地步。
（赛 59:12-13）	我们的过犯在你面前增多， 罪恶作见证告我们； 过犯与我们同在。 至于我们的罪孽，我们都知道：就是悖逆、不认识耶和华， 转去不跟从我们的上帝， 说欺压和叛逆的话， 心怀谎言，随即说出。
（赛 64:6-7）	我们都像不洁净的人； 所有的义都像污秽的衣服。 我们都像叶子渐渐枯干； 我们的罪孽好像风把我们吹去。并且无人求告你的名； 无人奋力抓住你。 原来你掩面不顾我们， 使我们因罪孽消化。
（耶 3:25）	我们在羞耻中躺卧吧！愿惭愧将我们遮盖；因为从立国〔注：原文是幼年〕以来，我们和我们的列祖常常得罪耶和华－我们的上帝，没有听从耶和华－我们上帝的话。
（耶 14:7）	耶和华啊，我们的罪孽虽然作见证告我们， 还求你为你名的缘故行事。 我们本是多次背道，得罪了你。
（耶 14:20-21）	耶和华啊，我们承认自己的罪恶， 和我们列祖的罪孽， 因我们得罪了你。求你为你名的缘故， 不厌恶我们， 不辱没你荣耀的宝座。 求你追念， 不要背了与我们所立的约。
（耶 16:19）	耶和华啊，你是我的力量， 是我的保障； 在苦难之日是我的避难所。 列国人必从地极来到你这里， 说：我们列祖所承受的， 不过是虚假，是虚空无益之物。
（但 9:8-9）	主啊，我们和我们的君王、首领、列祖因得罪了你，就都脸上蒙羞。主－我们的上帝是怜悯饶恕人的，我们却违背了他，
（但 9:17）	我们的上帝啊，现在求你垂听仆人的祈祷恳求，为自己使脸光照你荒凉的圣所。
（但 9:18-19）	我的上帝啊，求你侧耳而听，睁眼而看，〔眷顾〕我们荒凉〔之地〕和称为你名下的城。我们在你面前恳求，原不是因自己的义，乃因你的大怜悯。求主垂听，求主赦免，求主应允而行，为你自己不要迟延。我的上帝啊，因这城和这民都是称为你名下的。」
（伯 42:2-6）	我知道，你万事都能做； 你的旨意不能拦阻。谁用无知的言语使〔你的〕旨意隐藏呢？ 我所说的是我不明白的； 这些事太奇妙，是我不知道的。求你听我，我要说话； 我问你，求你指示我。我从前风闻有你， 现在亲眼看见你。因此我厌恶自己〔注：或译：我的言语〕， 在尘土和炉灰中懊悔。
（撒下 24:10）	大卫数点百姓以后，就心中自责，祷告耶和华说：「我行这事大有罪了。耶和华啊，求你除掉仆人的罪孽，因我所行的甚是愚昧。」
（撒下 24:17）	大卫看见灭民的天使，就祷告耶和华说：「我犯了罪，行了恶；但这群羊做了什么呢？愿你的手攻击我和我的父家。」
（代上 21:8）	大卫祷告上帝说：「我行这事大有罪了！现在求你除掉仆人的罪孽，因我所行的甚是愚昧。」
（诗 25:6-7）	耶和华啊，求你记念你的怜悯和慈爱， 因为这是亘古以来所常有的。求你不要记念我幼年的罪愆和我的过犯； 耶和华啊，求你因你的恩惠，按你的慈爱记念我。
（诗 25:11）	耶和华啊，求你因你的名赦免我的罪， 因为我的罪重大。
（诗 32:5）	我向你陈明我的罪， 不隐瞒我的恶。 我说：我要向耶和华承认我的过犯， 你就赦免我的罪恶。（细拉）
（诗 69:5）	上帝啊，我的愚昧，你原知道； 我的罪愆不能隐瞒。
（哀 1:20）	耶和华啊，求你观看， 因为我在急难中。 我心肠扰乱； 我心在我里面翻转， 因我大大悖逆。 在外，刀剑使人丧子； 在家，犹如死亡。
（路 5:8）	西门‧彼得看见，就俯伏在耶稣膝前，说：「主啊，离开我，我是个罪人！」
（路 11:4）	赦免我们的罪， 因为我们也赦免凡亏欠我们的人。 不叫我们遇见试探； 救我们脱离凶恶〔注：有古卷没有末句〕。」
（路 18:13）	那税吏远远地站着，连举目望天也不敢，只捶着胸说：『上帝啊，开恩可怜我这个罪人！』
（诗 32:5）	我向你陈明我的罪， 不隐瞒我的恶。 我说：我要向耶和华承认我的过犯， 你就赦免我的罪恶。（细拉）
（伯 16:19）	现今，在天有我的见证， 在上有我的中保。
（诗 130:4）	但在你有赦免之恩， 要叫人敬畏你。
（但 9:9）	主－我们的上帝是怜悯饶恕人的，我们却违背了他，
（罗 8:1）	如今，那些在基督耶稣里的就不定罪了。
（林后 5:19）	这就是上帝在基督里，叫世人与自己和好，不将他们的过犯归到他们身上，并且将这和好的道理托付了我们。
（番 3:9）	那时，我必使万民用清洁的言语 好求告〔我〕－耶和华的名， 同心合意地事奉我。
（亚 12:10）	「我必将那施恩叫人恳求的灵，浇灌大卫家和耶路撒冷的居民。他们必仰望我〔注：或译：他；本节同〕，就是他们所扎的；必为我悲哀，如丧独生子，又为我愁苦，如丧长子。
（罗 8:26-27）	况且，我们的软弱有〔圣〕灵帮助；我们本不晓得当怎样祷告，只是〔圣〕灵亲自用说不出来的叹息替我们祷告。鉴察人心的，晓得〔圣〕灵的意思，因为〔圣〕灵照着上帝的〔旨意〕替圣徒祈求。
（加 4:6）	你们既为儿子，上帝就差他儿子的灵进入你们〔注：原文是我们〕的心，呼叫：「阿爸！父！」
（诗 80:18）	这样，我们便不退后离开你； 求你救活我们，我们就要求告你的名。
（诗 116:17）	我要以感谢为祭献给你， 又要求告耶和华的名。
（诗 57:8）	我的灵〔注：原文是荣耀〕啊，你当醒起！ 琴瑟啊，你们当醒起！ 我自己要极早醒起！
（诗 116:13）	我要举起救恩的杯， 称扬耶和华的名。
（撒上 12:23）	至于我，断不停止为你们祷告，以致得罪耶和华。我必以善道正路指教你们。
（代下 7:14）	这称为我名下的子民，若是自卑、祷告，寻求我的面，转离他们的恶行，我必从天上垂听，赦免他们的罪，医治他们的地。
（代下 34:27）	就是听见我指着这地和其上居民所说的话，你便心里敬服，在我面前自卑，撕裂衣服，向我哭泣，因此我应允了你。这是我－耶和华说的。
（伯 33:26）	他祷告上帝， 上帝就喜悦他， 使他欢呼朝见上帝的面； 上帝又看他为义。
（诗 2:8）	你求我，我就将列国赐你为基业， 将地极赐你为田产。
（诗 34:4-5）	我曾寻求耶和华，他就应允我， 救我脱离了一切的恐惧。凡仰望他的，便有光荣； 他们的脸必不蒙羞。
（诗 37:4-5）	又要以耶和华为乐， 他就将你心里所求的赐给你。当将你的事交讬耶和华， 并倚靠他，他就必成全。
（诗 66:18-20）	我若心里注重罪孽， 主必不听。但上帝实在听见了； 他侧耳听了我祷告的声音。上帝是应当称颂的！ 他并没有推却我的祷告， 也没有叫他的慈爱离开我。
（诗 72:12）	因为，穷乏人呼求的时候，他要搭救； 没有人帮助的困苦人，他也要搭救。
（诗 86:7）	我在患难之日要求告你， 因为你必应允我。
（诗 91:15-16）	他若求告我，我就应允他； 他在急难中，我要与他同在； 我要搭救他，使他尊贵。我要使他足享长寿， 将我的救恩显明给他。
（诗 102:17）	他垂听穷人的祷告， 并不藐视他们的祈求。
（诗 118:5）	我在急难中求告耶和华，他就应允我， 把我〔安置〕在宽阔之地。
（诗 145:18-19）	凡求告耶和华的，就是诚心求告他的， 耶和华便与他们相近。敬畏他的，他必成就他们的心愿， 也必听他们的呼求，拯救他们。
（赛 30:19）	百姓必在锡安、在耶路撒冷居住；你不再哭泣。主必因你哀求的声音施恩给你；他听见的时候就必应允你。
（赛 58:8-9）	这样，你的光就必发现如早晨的光； 你所得的医治要速速发明。 你的公义必在你前面行； 耶和华的荣光必作你的后盾。那时你求告，耶和华必应允； 你呼求，他必说：我在这里。 你若从你中间除掉〔重〕轭 和指摘人的指头，并发恶言的事，
（赛 64:4）	从古以来，人未曾听见、未曾耳闻、未曾眼见 在你以外有什么神为等候他的人行事。
（耶 29:12-13）	你们要呼求我，祷告我，我就应允你们。你们寻求我，若专心寻求我，就必寻见。
（但 10:12）	他就说：「但以理啊，不要惧怕！因为从你第一日专心求明白〔将来的事〕，又在你上帝面前刻苦己心，你的言语已蒙应允；我是因你的言语而来。
（但 9:23）	你初恳求的时候，就发出命令，我来告诉你，因你大蒙眷爱；所以你要思想明白这〔以下的〕事和异象。
（何 14:8）	以法莲〔必说〕： 我与偶像还有什么关涉呢？ 我－〔耶和华〕回答他，也必顾念他。 我如青翠的松树； 你的果子从我而得。
（太 6:8）	你们不可效法他们；因为你们没有祈求以先，你们所需用的，你们的父早已知道了。
（太 7:8）	因为凡祈求的，就得着；寻找的，就寻见；叩门的，就给他开门。
（可 11:24）	所以我告诉你们，凡你们祷告祈求的，无论是什么，只要信是得着的，就必得着。
（路 11:13）	你们虽然不好，尚且知道拿好东西给儿女；何况天父，岂不更将圣灵给求他的人吗？」
（约 14:13-14）	你们奉我的名无论求什么，我必成就，叫父因儿子得荣耀。你们若奉我的名求什么，我必成就。」
（约 15:7）	你们若常在我里面，我的话也常在你们里面，凡你们所愿意的，祈求，就给你们成就。
（约 15:16）	不是你们拣选了我，是我拣选了你们，并且分派你们去结果子，叫你们的果子常存，使你们奉我的名，无论向父求什么，他就赐给你们。
（约 16:23-24）	到那日，你们什么也就不问我了。我实实在在地告诉你们，你们若向父求什么，他必因我的名赐给你们。向来你们没有奉我的名求什么，如今你们求，就必得着，叫你们的喜乐可以满足。」
（罗 5:2）	我们又藉着他，因信得进入现在所站的这恩典中，并且欢欢喜喜盼望上帝的荣耀。
（弗 2:18）	因为我们两下藉着他被一个〔圣〕灵所感，得以进到父面前。
（弗 3:11-12）	这是照上帝从万世以前，在我们主基督耶稣里所定的旨意。我们因信耶稣，就在他里面放胆无惧，笃信不疑地来到上帝面前。
（弗 3:20）	上帝能照着运行在我们心里的大力充充足足地成就一切，超过我们所求所想的。
（腓 4:6-7）	应当一无挂虑，只要凡事藉着祷告、祈求，和感谢，将你们所要的告诉上帝。上帝所赐、出人意外的平安必在基督耶稣里保守你们的心怀意念。
（来 4:15-16）	因我们的大祭司并非不能体恤我们的软弱。他也曾凡事受过试探，与我们一样，只是他没有犯罪。所以，我们只管坦然无惧地来到施恩的宝座前，为要得怜恤，蒙恩惠，作随时的帮助。
（雅 5:16）	所以你们要彼此认罪，互相代求，使你们可以得医治。义人祈祷所发的力量是大有功效的。
（约一 5:14-15）	我们若照他的旨意求什么，他就听我们，这是我们向他所存坦然无惧的心。既然知道他听我们一切所求的，就知道我们所求于他的，无不得着。
（诗 86:3）	主啊，求你怜悯我， 因我终日求告你。
（诗 28:2）	我呼求你，向你至圣所举手的时候， 求你垂听我恳求的声音！
（诗 70:5）	但我是困苦穷乏的； 上帝啊，求你速速到我这里来！ 你是帮助我的，搭救我的。 耶和华啊，求你不要耽延！
（诗 71:12）	上帝啊，求你不要远离我！ 我的上帝啊，求你速速帮助我！
（诗 79:8）	求你不要记念我们先祖的罪孽，向我们追讨； 愿你的慈悲快迎着我们， 因为我们落到极卑微的地步。
（诗 102:1-2）	耶和华啊，求你听我的祷告， 容我的呼求达到你面前！我在急难的日子，求你向我侧耳； 不要向我掩面！ 我呼求的日子，求你快快应允我！
（诗 143:1）	耶和华啊，求你听我的祷告， 留心听我的恳求， 凭你的信实和公义应允我。
（诗 143:7）	耶和华啊，求你速速应允我！ 我心神耗尽！ 不要向我掩面， 免得我像那些下坑的人一样。
（诗 69:13）	但我在悦纳的时候向你－耶和华祈祷。 上帝啊，求你按你丰盛的慈爱， 凭你拯救的诚实应允我！
（诗 27:9）	不要向我掩面。 不要发怒赶逐仆人， 你向来是帮助我的。 救我的上帝啊，不要丢掉我， 也不要离弃我。
（诗 106:4-5）	耶和华啊，你用恩惠待你的百姓； 求你也用这恩惠记念我，开你的救恩眷顾我，使我见你选民的福， 乐你国民的乐， 与你的产业一同夸耀。
（诗 66:20）	上帝是应当称颂的！ 他并没有推却我的祷告， 也没有叫他的慈爱离开我。
（诗 39:7）	主啊，如今我等什么呢？ 我的指望在乎你！
（诗 77:1）	我要向上帝发声呼求； 我向上帝发声，他必留心听我。
（诗 118:21）	我要称谢你，因为你已经应允我， 又成了我的拯救！
（诗 116:2）	他既向我侧耳， 我一生要求告他。
（诗 4:3）	你们要知道，耶和华已经分别虔诚人归他自己； 我求告耶和华，他必听我。
（撒下 22:4）	我要求告当赞美的耶和华， 这样，我必从仇敌手中被救出来。
（诗 106:8）	然而，他因自己的名拯救他们， 为要彰显他的大能，
（结 36:25-27）	我必用清水洒在你们身上，你们就洁净了。我要洁净你们，使你们脱离一切的污秽，弃掉一切的偶像。我也要赐给你们一个新心，将新灵放在你们里面，又从你们的肉体中除掉石心，赐给你们肉心。我必将我的灵放在你们里面，使你们顺从我的律例，谨守遵行我的典章。
（诗 107:20）	他发命医治他们， 救他们脱离死亡。
（赛 45:17）	惟有以色列必蒙耶和华的拯救， 得永远的救恩。 你们必不蒙羞，也不抱愧， 直到永世无尽。
（赛 55:5）	你素不认识的国民，你也必召来； 素不认识你的国民也必向你奔跑， 都因耶和华－你的上帝以色列的圣者， 因为他已经荣耀你。
（赛 65:1）	素来没有访问〔我的〕，现在求问我； 没有寻找我的，我叫他们遇见； 没有称为我名下的，我对他们说： 我在这里！我在这里！
（耶 50:4-5）	耶和华说：「当那日子、那时候，以色列人要和犹大人同来，随走随哭，寻求耶和华－他们的上帝。他们必访问锡安，又面向这里，〔说〕：『来吧，你们要与耶和华联合为永远不忘的约。』
（结 11:19-20）	我要使他们有合一的心，也要将新灵放在他们里面，又从他们肉体中除掉石心，赐给他们肉心，使他们顺从我的律例，谨守遵行我的典章。他们要作我的子民，我要作他们的上帝。
（结 18:23）	主耶和华说：恶人死亡，岂是我喜悦的吗？不是喜悦他回头离开所行的道存活吗？
（结 18:32）	主耶和华说：我不喜悦那死人之死，所以你们当回头而存活。」
（何 2:19-20）	我必聘你永远归我为妻，以仁义、公平、慈爱、怜悯聘你归我；也以诚实聘你归我，你就必认识〔我〕－耶和华。
（珥 2:32）	到那时候，凡求告耶和华名的就必得救；因为照耶和华所说的，在锡安山，耶路撒冷必有逃脱的人，在剩下的人中必有耶和华所召的。」
（路 5:32）	我来本不是召义人悔改，乃是召罪人悔改。」
（路 19:10）	人子来，为要寻找、拯救失丧的人。」
（约 5:24-25）	我实实在在地告诉你们，那听我话、又信差我来者的，就有永生；不至于定罪，是已经出死入生了。我实实在在地告诉你们，时候将到，现在就是了，死人要听见上帝儿子的声音，听见的人就要活了。
（约 6:37）	凡父所赐给我的人必到我这里来；到我这里来的，我总不丢弃他。
（约 6:65）	耶稣又说：「所以我对你们说过，若不是蒙我父的恩赐，没有人能到我这里来。」
（约 10:9）	我就是门；凡从我进来的，必然得救，并且出入得草吃。
（约 11:25-26）	耶稣对她说：「复活在我，生命也在我。信我的人虽然死了，也必复活；凡活着信我的人必永远不死。你信这话吗？」
（约 14:6）	耶稣说：「我就是道路、真理、生命；若不藉着我，没有人能到父那里去。
（约 20:31）	但记这些事要叫你们信耶稣是基督，是上帝的儿子，并且叫你们信了他，就可以因他的名得生命。
（徒 2:38-39）	彼得说：「你们各人要悔改，奉耶稣基督的名受洗，叫你们的罪得赦，就必领受所赐的圣灵；因为这应许是给你们和你们的儿女，并一切在远方的人，就是主－我们上帝所召来的。」
（徒 3:19-20）	所以，你们当悔改归正，使你们的罪得以涂抹，这样，那安舒的日子就必从主面前来到；主也必差遣所预定给你们的基督（耶稣）降临。
（徒 11:18）	众人听见这话，就不言语了，只归荣耀与上帝，说：「这样看来，上帝也赐恩给外邦人，叫他们悔改得生命了。」
（徒 13:38）	所以，弟兄们，你们当晓得：赦罪的道是由这人传给你们的。
（徒 16:31）	他们说：「当信主耶稣，你和你一家都必得救。」
（徒 26:18）	我差你到他们那里去，要叫他们的眼睛得开，从黑暗中归向光明，从撒但权下归向上帝；又因信我，得蒙赦罪，和一切成圣的人同得基业。』」
（罗 1:16）	我不以福音为耻；这福音本是上帝的大能，要救一切相信的，先是犹太人，后是希腊人。
（罗 4:5）	惟有不做工的，只信称罪人为义的上帝，他的信就算为义。
（罗 5:1）	我们既因信称义，就藉着我们的主耶稣基督得与上帝相和。
（罗 5:8）	惟有基督在我们还作罪人的时候为我们死，上帝的爱就在此向我们显明了。
（罗 8:1）	如今，那些在基督耶稣里的就不定罪了。
（罗 9:16）	据此看来，这不在乎那定意的，也不在乎那奔跑的，只在乎发怜悯的上帝。
（罗 10:4）	律法的总结就是基督，使凡信他的都得着义。
（罗 10:9）	你若口里认耶稣为主，心里信上帝叫他从死里复活，就必得救。
（罗 10:12-13）	犹太人和希腊人并没有分别，因为众人同有一位主；他也厚待一切求告他的人。因为「凡求告主名的就必得救」。
（罗 10:17）	可见，信道是从听道来的，听道是从基督的话来的。
（林前 1:18）	因为十字架的道理，在那灭亡的人为愚拙；在我们得救的人，却为上帝的大能。
（林前 15:22）	在亚当里众人都死了；照样，在基督里众人也都要复活。
（林前 15:49）	我们既有属土的形状，将来也必有属天的形状。
（林后 5:19）	这就是上帝在基督里，叫世人与自己和好，不将他们的过犯归到他们身上，并且将这和好的道理托付了我们。
（林后 5:21）	上帝使那无罪〔注：无罪：原文是不知罪〕的，替我们成为罪，好叫我们在他里面成为上帝的义。
（帖前 5:9）	因为上帝不是预定我们受刑，乃是预定我们藉着我们主耶稣基督得救。
（弗 2:8-9）	你们得救是本乎恩，也因着信；这并不是出于自己，乃是上帝所赐的；也不是出于行为，免得有人自夸。
（提前 2:3-4）	这是好的，在上帝我们救主面前可蒙悦纳。他愿意万人得救，明白真道。
（提后 1:10）	但如今藉着我们救主基督耶稣的显现才表明出来了。他已经把死废去，藉着福音，将不能坏的生命彰显出来。
（多 3:5-6）	他便救了我们；并不是因我们自己所行的义，乃是照他的怜悯，藉着重生的洗和圣灵的更新。圣灵就是上帝藉着耶稣基督－我们救主厚厚浇灌在我们身上的，
（来 7:25）	凡靠着他进到上帝面前的人，他都能拯救到底；因为他是长远活着，替他们祈求。
（来 8:10-12）	主又说： 那些日子以后， 我与以色列家所立的约乃是这样： 我要将我的律法放在他们里面， 写在他们心上； 我要作他们的上帝； 他们要作我的子民。他们不用各人教导自己的乡邻和自己的弟兄， 说：你该认识主； 因为他们从最小的到至大的，都必认识我。我要宽恕他们的不义， 不再记念他们的罪愆。
（来 9:26）	如果这样，他从创世以来，就必多次受苦了。但如今在这末世显现一次，把自己献为祭，好除掉罪。
（来 10:14）	因为他一次献祭，便叫那得以成圣的人永远完全。
